id,firstName,lastName,age,gender,location,religion,diet,profession
1,User1,SL492,34,female,Kegalle,Buddhist,vegetarian,Manager
2,User2,SL103,27,male,Vavuniya,Christian,non-vegetarian,Lawyer
3,User3,SL226,40,male,Kandy,Buddhist,vegetarian,Manager
4,User4,SL270,22,female,Galle,Buddhist,vegetarian,Accountant
5,User5,SL105,24,female,Polonnaruwa,Buddhist,non-vegetarian,Manager
6,User6,SL144,23,female,Galle,Christian,non-vegetarian,Artist
7,User7,SL594,25,female,Matale,Hindu,vegetarian,Manager
8,User8,SL153,28,male,Gampaha,Muslim,vegetarian,Teacher
9,User9,SL262,31,male,Gampaha,Hindu,vegetarian,Doctor
10,User10,SL310,32,male,Puttalam,Buddhist,vegetarian,Student
11,User11,SL579,29,female,Colombo,Buddhist,non-vegetarian,Lawyer
12,User12,SL195,24,male,NuwaraEliya,Hindu,non-vegetarian,Consultant
13,User13,SL974,30,female,Jaffna,Buddhist,non-vegetarian,Student
14,User14,SL554,34,male,Ratnapura,Buddhist,vegetarian,Lawyer
15,User15,SL220,28,male,Matale,Muslim,non-vegetarian,Engineer
16,User16,SL979,30,female,Jaffna,Buddhist,non-vegetarian,Entrepreneur
17,User17,SL412,22,female,Ratnapura,Hindu,vegetarian,Teacher
18,User18,SL325,33,female,Polonnaruwa,Muslim,non-vegetarian,Entrepreneur
19,User19,SL584,27,female,Batticaloa,Muslim,non-vegetarian,Teacher
20,User20,SL867,40,male,Galle,Buddhist,non-vegetarian,Consultant
21,User21,SL147,22,female,Gampaha,Hindu,vegetarian,Engineer
22,User22,SL402,22,female,Colombo,Buddhist,non-vegetarian,Engineer
23,User23,SL355,29,female,Badulla,Buddhist,vegetarian,Entrepreneur
24,User24,SL688,31,female,Kandy,Buddhist,non-vegetarian,Consultant
25,User25,SL432,24,male,Galle,Muslim,vegetarian,Manager
26,User26,SL424,34,female,Kurunegala,Buddhist,vegetarian,Manager
27,User27,SL770,26,male,Galle,Buddhist,vegetarian,Consultant
28,User28,SL759,27,male,Monaragala,Buddhist,non-vegetarian,Doctor
29,User29,SL515,35,male,Anuradhapura,Buddhist,vegetarian,Artist
30,User30,SL587,37,female,Batticaloa,Buddhist,vegetarian,Teacher
31,User31,SL426,30,male,Ratnapura,Muslim,non-vegetarian,Accountant
32,User32,SL748,24,female,Anuradhapura,Buddhist,vegetarian,Engineer
33,User33,SL372,24,male,Anuradhapura,Muslim,vegetarian,Manager
34,User34,SL835,22,male,Kalutara,Buddhist,vegetarian,Teacher
35,User35,SL445,40,female,Kalutara,Buddhist,non-vegetarian,Accountant
36,User36,SL276,35,male,Anuradhapura,Muslim,non-vegetarian,Accountant
37,User37,SL382,28,female,Polonnaruwa,Buddhist,non-vegetarian,Engineer
38,User38,SL270,28,female,Gampaha,Buddhist,non-vegetarian,Doctor
39,User39,SL217,25,male,Monaragala,Buddhist,vegetarian,Lawyer
40,User40,SL957,22,female,Anuradhapura,Buddhist,non-vegetarian,Consultant
41,User41,SL867,25,male,Anuradhapura,Buddhist,vegetarian,Engineer
42,User42,SL839,23,female,Kalutara,Buddhist,non-vegetarian,Student
43,User43,SL381,28,female,Kurunegala,Buddhist,vegetarian,Manager
